"","animal","dam","sire"
"1067",2665,NA,NA
"1068",6540,NA,NA
"1069",4433,NA,NA
"1070",5942,NA,NA
"1071",5195,NA,NA
"1072",8202,NA,NA
"1073",4759,NA,NA
"1074",2190,NA,NA
"1075",8227,NA,NA
"1076",9458,NA,NA
"1077",13197,NA,NA
"1078",4950,NA,NA
"1079",13630,NA,NA
"1080",3382,NA,NA
"1081",1343,NA,NA
"1082",12888,NA,NA
"1083",2147,NA,NA
"1084",7439,NA,NA
"1085",13912,NA,NA
"1086",8743,NA,NA
"1087",13626,NA,NA
"1088",3215,NA,NA
"1089",5177,NA,NA
"1090",9403,NA,NA
"1091",10165,NA,NA
"1092",4256,NA,NA
"1093",13480,NA,NA
"1094",4451,NA,NA
"1095",12426,NA,NA
"1096",11496,NA,NA
"1097",9343,NA,NA
"1098",9122,NA,NA
"1099",1150,NA,NA
"1100",7747,NA,NA
"1101",9922,NA,NA
"1102",2750,NA,NA
"1103",5005,NA,NA
"1104",8813,NA,NA
"1105",12580,NA,NA
"1106",166,NA,NA
"1107",11620,NA,NA
"1108",11747,NA,NA
"1109",10614,NA,NA
"1110",1653,NA,NA
"1111",2202,NA,NA
"1112",8414,NA,NA
"1113",6840,NA,NA
"1114",8796,NA,NA
"1115",13990,NA,NA
"1116",13485,NA,NA
"1117",10208,NA,NA
"1118",11662,NA,NA
"1119",2702,NA,NA
"1120",6920,NA,NA
"1121",4007,NA,NA
"1122",4252,NA,NA
"1123",14304,NA,NA
"1124",1579,NA,NA
"1125",12019,NA,NA
"1126",8886,NA,NA
"1127",8957,NA,NA
"1128",10123,NA,NA
"1129",13057,NA,NA
"1130",12980,NA,NA
"1131",6937,NA,NA
"1132",9355,NA,NA
"1133",11331,NA,NA
"1134",9709,NA,NA
"1135",14231,NA,NA
"1136",11721,NA,NA
"1137",1565,NA,NA
"1138",13605,NA,NA
"1139",12625,NA,NA
"1140",12864,NA,NA
"1141",8461,NA,NA
"1142",2848,NA,NA
"1143",13475,NA,NA
"1144",13561,NA,NA
"1145",13374,NA,NA
"1146",3139,NA,NA
"1147",8763,NA,NA
"1148",1434,NA,NA
"1149",5922,NA,NA
"1150",9389,NA,NA
"1151",10515,NA,NA
"1152",9134,NA,NA
"1153",13364,NA,NA
