"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"8769",9525,2,2006,"s","LBS","poisson",0,0,0,32.9713541666667
"8770",2645,7,2006,"s","LBS","poisson",0,0,0,32.9713541666667
"8783",11947,4,2005,"s","LBS","poisson",0,0,0,-29.0286458333333
"8831",1643,58,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"8832",1613,12,2003,"s","LBS","poisson",0,1,0,59.9713541666667
"8835",9547,7,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"9011",1414,24,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9012",11983,2,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9013",4358,18,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9016",8053,30,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9019",13484,2,2007,"s","LBS","poisson",0,1,0,12.9713541666667
"9024",145,2,2007,"s","LBS","poisson",0,1,0,12.9713541666667
"9027",4166,0,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9029",686,5,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9030",1740,15,2007,"s","LBS","poisson",0,1,0,12.9713541666667
"9036",8349,30,2006,"s","LBS","poisson",0,0,0,32.9713541666667
"9065",6222,8,2003,"s","LBS","poisson",0,0,0,59.9713541666667
"9117",11340,18,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9121",10660,6,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9125",13299,0,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9126",5691,74,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9127",2909,0,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9183",10289,1,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9184",3045,4,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9186",14328,2,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9187",8540,1,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9191",10798,4,2006,"s","LBS","poisson",0,0,0,32.9713541666667
"9246",2789,0,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9248",300,0,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9250",9388,2,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9415",7792,0,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9416",3596,6,2007,"s","LBS","poisson",0,1,0,12.9713541666667
"9465",3759,2,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9471",13160,0,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9472",9526,5,2008,"s","LBS","poisson",0,1,0,132.971354166667
"9473",6715,0,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9481",5666,0,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9482",13557,19,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9483",9314,2,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9579",13251,32,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9580",12408,0,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9581",7305,1,2008,"s","LBS","poisson",0,1,0,132.971354166667
"9583",9684,3,2008,"s","LBS","poisson",0,1,0,132.971354166667
"9584",4787,9,2008,"s","LBS","poisson",0,1,0,132.971354166667
"9585",11953,0,2008,"s","LBS","poisson",0,1,0,132.971354166667
"9588",11892,11,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9590",6119,0,2008,"s","LBS","poisson",0,1,0,132.971354166667
"9592",7076,1,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9596",1012,12,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"9894",4018,1,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9895",9447,3,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9896",11713,15,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9897",12454,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9898",6709,4,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9957",3136,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9959",10855,1,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9961",6162,1,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9963",12889,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9964",8138,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9966",9407,1,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9968",7214,1,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9969",8507,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9970",2426,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9971",12371,18,2009,"s","LBS","poisson",0,0,0,182.971354166667
"9976",3563,1,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9979",9907,0,2008,"s","LBS","poisson",0,0,0,132.971354166667
"9989",271,5,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"10021",2133,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10030",1061,0,2008,"s","LBS","poisson",0,0,0,132.971354166667
"10104",582,20,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10107",13200,1,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10108",8853,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10112",10390,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10116",3278,3,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10118",12514,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10119",3802,2,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10122",10097,29,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10123",11174,1,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10125",9804,0,2009,"s","LBS","poisson",0,0,0,182.971354166667
"10135",3657,0,2008,"s","LBS","poisson",0,0,0,132.971354166667
"10168",11111,0,2007,"s","LBS","poisson",0,0,0,12.9713541666667
"10518",11810,8,2010,"s","LBS","poisson",0,0,0,237.971354166667
