"","id","y","time","trait","measure","family","CapAgeYears","Sex","Twin","jdateMC","PopDensMC"
"1887",9732,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1888",6820,2,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1889",13261,9,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1890",9421,13,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1891",9760,4,1992,"s","LBS","poisson",0,2,1,0,-108.064822134387
"1892",6370,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1893",5931,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1917",6109,10,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1921",12562,8,1987,"s","LBS","poisson",0,2,0,0,-98.0648221343873
"1924",10864,6,1992,"s","LBS","poisson",0,1,1,0,-108.064822134387
"1932",8413,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1937",4831,10,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1939",827,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1941",1769,1,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1944",12607,11,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1948",13307,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1954",11251,2,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1956",3912,10,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1961",10168,10,1992,"s","LBS","poisson",0,1,1,0,-108.064822134387
"1966",10670,12,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1968",9659,7,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1972",3597,2,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1973",2083,9,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1976",1152,1,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"1977",11290,6,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"1981",13544,5,1992,"s","LBS","poisson",0,1,1,0,-108.064822134387
"1982",13653,1,1992,"s","LBS","poisson",0,2,1,0,-108.064822134387
"1985",13438,2,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"1988",1138,9,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1999",1490,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2000",12740,25,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2007",3238,2,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2009",2541,14,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2011",3595,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2021",11867,0,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2023",1712,6,1992,"s","LBS","poisson",0,1,1,0,-108.064822134387
"2026",9329,8,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"2028",7049,7,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"2030",468,6,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"2031",9967,4,1992,"s","LBS","poisson",0,2,1,0,-108.064822134387
"2034",8219,4,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2036",7108,8,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"2045",6599,13,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"2049",4483,1,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"2059",10951,13,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"2061",8639,4,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"2065",5038,0,1992,"s","LBS","poisson",0,2,1,0,-108.064822134387
"2071",2656,5,1992,"s","LBS","poisson",0,1,1,0,-108.064822134387
"2073",803,8,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"2074",3768,3,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"2079",13555,1,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2089",10766,30,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2103",2301,5,1993,"s","LBS","poisson",0,1,1,0,13.9351778656127
"2104",9265,4,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"2105",7155,5,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"2126",7982,9,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2127",12477,17,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2128",10737,5,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2129",6912,0,1993,"s","LBS","poisson",0,2,1,0,13.9351778656127
"2130",4077,0,1993,"s","LBS","poisson",0,2,0,0,13.9351778656127
"2131",12549,13,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"2134",2173,3,1992,"s","LBS","poisson",0,2,0,0,-108.064822134387
"2152",12148,9,1993,"s","LBS","poisson",0,1,1,0,13.9351778656127
"2159",4805,1,1993,"s","LBS","poisson",0,1,1,0,13.9351778656127
"2160",3107,3,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2161",10240,7,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"2166",8692,0,1993,"s","LBS","poisson",0,2,1,0,13.9351778656127
"2188",13136,8,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2189",10159,8,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2219",630,7,1993,"s","LBS","poisson",0,2,0,0,13.9351778656127
"2220",13789,0,1993,"s","LBS","poisson",0,2,0,0,13.9351778656127
"2221",876,0,1993,"s","LBS","poisson",0,2,0,0,13.9351778656127
"2222",2841,4,1993,"s","LBS","poisson",0,2,0,0,13.9351778656127
"2223",12396,12,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2224",6965,5,1993,"s","LBS","poisson",0,1,1,0,13.9351778656127
"2239",10431,0,1993,"s","LBS","poisson",0,1,1,0,13.9351778656127
"2240",2703,10,1993,"s","LBS","poisson",0,1,1,0,13.9351778656127
"2241",7189,12,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"2264",775,11,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2265",6496,12,1992,"s","LBS","poisson",0,1,0,0,-108.064822134387
"2272",4422,17,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2278",4894,13,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"2284",3077,13,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2305",5153,9,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2309",7051,2,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2310",10568,9,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2311",12182,2,1992,"s","LBS","poisson",0,1,1,0,-108.064822134387
"2352",735,2,1994,"s","LBS","poisson",0,1,0,0,5.93517786561267
"2353",4750,8,1994,"s","LBS","poisson",0,1,0,0,5.93517786561267
"2357",7572,0,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2374",11652,15,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2414",7037,3,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2415",1090,5,1991,"s","LBS","poisson",0,1,0,0,-15.0648221343873
"2419",6017,7,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2424",12635,11,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2433",11215,3,1993,"s","LBS","poisson",0,2,0,0,13.9351778656127
"2434",8137,1,1993,"s","LBS","poisson",0,2,0,0,13.9351778656127
"2438",3747,15,1993,"s","LBS","poisson",0,2,0,0,13.9351778656127
"2442",5515,8,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"2443",6596,7,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"2445",14262,8,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
"2446",11071,18,1993,"s","LBS","poisson",0,1,0,0,13.9351778656127
