"","LambAugWeight","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"4910",19.4,1,388,2,0,1.03162055335969,-55.2450592885376,-11.4077601410935,1993
"5510",19.3,1,5007,2,0,0.0316205533596872,76.7549407114624,-13.4077601410935,1996
"5151",17.5,0,4595,2,0,2.03162055335969,-63.2450592885376,-5.40776014109348,1994
"5857",14.6,0,5154,2,0,3.03162055335969,43.7549407114624,2.59223985890652,1997
"4443",13.3,0,10416,2,0,0.0316205533596872,-208.245059288538,10.5922398589065,1990
"5864",12.4,0,11044,2,0,-2.96837944664031,43.7549407114624,4.59223985890652,1997
"6578",17.6,1,13543,2,0,-5.96837944664031,-37.2450592885376,3.59223985890652,2000
"4719",14.2,1,12618,2,0,-1.96837944664031,-177.245059288538,-14.4077601410935,1992
"5025",15,0,13550,2,0,1.03162055335969,-55.2450592885376,2.59223985890652,1993
"5317",13.5,0,12658,2,0,6.03162055335969,-141.245059288538,-7.40776014109348,1995
"5535",15.5,0,8830,2,0,2.03162055335969,76.7549407114624,-2.40776014109348,1996
"5743",14.3,1,13920,2,0,1.03162055335969,43.7549407114624,-13.4077601410935,1997
"6029",14.5,0,2877,2,0,2.03162055335969,92.7549407114624,-4.40776014109348,1998
"4977",18.7,1,14033,2,0,2.03162055335969,-55.2450592885376,-1.40776014109348,1993
"4738",12,1,13307,2,0,-1.96837944664031,-177.245059288538,-5.40776014109348,1992
"5528",17.3,1,13380,2,0,0.0316205533596872,76.7549407114624,-2.40776014109348,1996
"4730",11.3,0,9583,2,0,-0.968379446640313,-177.245059288538,-8.40776014109348,1992
"6143",13.8,0,4936,2,0,0.0316205533596872,92.7549407114624,3.59223985890652,1998
"4570",10.5,0,6578,2,0,1.03162055335969,-84.2450592885376,-5.40776014109348,1991
"4792",13,1,8413,2,0,-0.968379446640313,-177.245059288538,15.5922398589065,1992
"6153",12.7,0,1018,2,0,-2.96837944664031,92.7549407114624,5.59223985890652,1998
"6284",13.8,1,7793,2,0,-4.96837944664031,-173.245059288538,-1.40776014109348,1999
"5028",16.6,0,662,2,0,3.03162055335969,-55.2450592885376,1.59223985890652,1993
"5184",11.6,0,3472,2,0,4.03162055335969,-63.2450592885376,-2.40776014109348,1994
"5696",17.3,1,5790,2,0,4.03162055335969,76.7549407114624,0.592239858906524,1996
"5918",14.9,0,4969,2,0,-2.96837944664031,43.7549407114624,6.59223985890652,1997
"6326",15.7,1,11665,2,0,-1.96837944664031,-173.245059288538,3.59223985890652,1999
"5641",15,0,7838,2,0,1.03162055335969,76.7549407114624,4.59223985890652,1996
"5854",13.6,0,6087,2,0,-2.96837944664031,43.7549407114624,2.59223985890652,1997
"5042",17.5,1,4905,2,0,3.03162055335969,-55.2450592885376,5.59223985890652,1993
"6158",13.5,0,10301,2,0,-2.96837944664031,92.7549407114624,7.59223985890652,1998
"5114",16.4,0,11085,2,0,2.03162055335969,-63.2450592885376,-13.4077601410935,1994
"5134",16,0,4029,2,0,2.03162055335969,-63.2450592885376,-7.40776014109348,1994
"4558",11.8,0,12540,2,0,2.03162055335969,-84.2450592885376,-8.40776014109348,1991
"5324",13.8,1,12670,2,0,5.03162055335969,-141.245059288538,-3.40776014109348,1995
"5533",19.3,0,7364,2,0,2.03162055335969,76.7549407114624,-2.40776014109348,1996
"5122",17.6,0,7984,2,0,2.03162055335969,-63.2450592885376,-9.40776014109348,1994
"6087",17.2,0,13948,2,0,2.03162055335969,92.7549407114624,1.59223985890652,1998
"5071",15.2,1,4077,2,0,2.03162055335969,-55.2450592885376,-2.40776014109348,1993
"5130",15,0,13236,2,0,2.03162055335969,-63.2450592885376,-8.40776014109348,1994
"5753",13.6,1,9232,2,0,3.03162055335969,43.7549407114624,-9.40776014109348,1997
"4626",10.2,0,1935,2,0,1.03162055335969,-84.2450592885376,0.592239858906524,1991
"4965",16.9,1,876,2,0,-1.96837944664031,-55.2450592885376,-3.40776014109348,1993
"4799",8.1,1,827,2,0,-1.96837944664031,-177.245059288538,72.5922398589065,1992
"5150",15,0,5119,2,0,6.03162055335969,-63.2450592885376,-5.40776014109348,1994
"5689",17.9,1,14037,2,0,2.03162055335969,76.7549407114624,-1.40776014109348,1996
"6039",10.1,0,1658,2,0,0.0316205533596872,92.7549407114624,-5.40776014109348,1998
"5876",14.1,0,2297,2,0,1.03162055335969,43.7549407114624,1.59223985890652,1997
"5532",18.6,1,4024,2,0,2.03162055335969,76.7549407114624,-2.40776014109348,1996
"6123",15,0,10100,2,0,0.0316205533596872,92.7549407114624,3.59223985890652,1998
"6148",18.5,0,10295,2,0,-2.96837944664031,92.7549407114624,4.59223985890652,1998
"7779",8.2,0,5838,2,0,-1.96837944664031,172.754940711462,-14.4077601410935,2004
"6162",11.8,0,2750,2,0,-2.96837944664031,92.7549407114624,4.59223985890652,1998
"5750",16.5,0,11541,2,0,-2.96837944664031,43.7549407114624,-9.40776014109348,1997
"6258",15.6,0,2483,2,0,-4.96837944664031,-173.245059288538,-15.4077601410935,1999
"5564",15,0,4363,2,0,1.03162055335969,76.7549407114624,2.59223985890652,1996
"5393",11.2,0,4272,2,0,1.03162055335969,-141.245059288538,7.59223985890652,1995
"5923",13.3,1,320,2,0,-2.96837944664031,43.7549407114624,6.59223985890652,1997
"5520",16.2,0,8714,2,0,0.0316205533596872,76.7549407114624,-3.40776014109348,1996
"5662",13.5,0,6102,2,0,0.0316205533596872,76.7549407114624,-0.407760141093476,1996
"6032",14,0,8657,2,0,0.0316205533596872,92.7549407114624,-4.40776014109348,1998
"6700",10.4,0,6417,2,0,-6.96837944664031,152.754940711462,-5.40776014109348,2001
"6079",17.5,0,484,2,0,2.03162055335969,92.7549407114624,-1.40776014109348,1998
"5605",13.6,0,5354,2,0,1.03162055335969,76.7549407114624,7.59223985890652,1996
